Model,Brand,Category,SubCategory,Active-Inactive,Remark,Update by,Update date
RT549N4TBN,Hisense,Refrigerator,2 Door,Active,,admin,01/08/2026
RT20HAR1DSA/ST,Samsung,Refrigerator,2 Door,Active,,admin,01/08/2026
RT266N4TGN,Hisense,Refrigerator,2 Door,Active,,admin,01/08/2026
RT308N4TGN,Hisense,Refrigerator,2 Door,Active,,admin,01/08/2026
TWD-T21BU140UWT(MG),Toshiba,Washing machine,Dryer,Active,,admin,01/08/2026
WT16B5240BA/ST,Samsung,Washing machine,Twin Tub,Active,,admin,01/08/2026
WA15CG5441BYST,Samsung,Washing machine,Top Load,Active,,admin,01/08/2026
RT38CG6020B1/ST,Samsung,Refrigerator,2 Door,Active,,admin,01/08/2026
WT180Q30,Hisense,Washing machine,Top Load,Active,,admin,01/08/2026
RS57DG4000M9ST,Samsung,Refrigerator,SBS,Active,,admin,01/08/2026
WTJH1313UB,Hisense,Washing machine,Top Load,Active,,admin,01/08/2026
GR-D189MS,Toshiba,Refrigerator,1 Door,Active,,admin,01/08/2026
55A6Q,Hisense,Television,!n/a,Active,,admin,01/08/2026
VH-Q150MT,Toshiba,Washing machine,Twin Tub,Active,,admin,01/08/2026
UA55U8000FKXXT,Samsung,Television,UHD,Active,,admin,01/08/2026
WD12DG6B85BBST,Samsung,Washing machine,Dryer,Active,,admin,01/08/2026
RT25FGRADB1/ST,Samsung,Refrigerator,2 Door,Active,,admin,01/08/2026
UA65U8000FKXXT,Samsung,Television,UHD,Active,,admin,01/08/2026
RT549N4TWU,Hisense,Refrigerator,2 Door,Active,,admin,01/08/2026
VH-Q180MT,Toshiba,Washing machine,Twin Tub,Active,,admin,01/08/2026
TW-T21BU115UWT(MG),Toshiba,Washing machine,Front Load,Active,,admin,01/08/2026
TW-T21BU140UWT(MG),Toshiba,Washing machine,Front Load,Active,,admin,01/08/2026
RQ518N4TBU,Hisense,Refrigerator,Multi Door,Active,,admin,01/08/2026
32A4Q,Hisense,Television,!n/a,Active,,admin,01/08/2026
GR-RT236WE-PMTH,Toshiba,Refrigerator,2 Door,Active,,admin,01/08/2026
65P6K,TCL,Television,!n/a,Active,,admin,01/08/2026
AW-DUK1300LT,Toshiba,Washing machine,Top Load,Active,,admin,01/08/2026
32S4K,TCL,Television,QLED,Active,,admin,01/08/2026
AW-T06DU2000QT,Toshiba,Washing machine,Top Load,Active,,admin,01/08/2026
GN-D382PQMB,LG,Refrigerator,2 Door,Active,,admin,01/08/2026
55P6K,TCL,Television,!n/a,Active,,admin,01/08/2026
GR-D906MS,Toshiba,Refrigerator,1 Door,Active,,admin,01/08/2026
65A6Q,Hisense,Television,!n/a,Active,,admin,01/08/2026
AW-DM1100PT,Toshiba,Washing machine,Top Load,Active,,admin,01/08/2026
WT12EPWDG,TCL,Washing machine,Wash & Dry,Active,,admin,01/08/2026
WF105N1,Hisense,Washing machine,Front Load,Active,,admin,01/08/2026
RT47CG6644S9ST,Samsung,Refrigerator,2 Door,Active,,admin,01/08/2026
RR61D4TGN,Hisense,Refrigerator,1 Door,Active,,admin,01/08/2026
WSRB1413UB,Hisense,Washing machine,Twin Tub,Active,,admin,01/08/2026
T2314VS2B,LG,Washing machine,Top Load,Active,,admin,01/08/2026
WD105M3,Hisense,Washing machine,Wash & Dry,Active,,admin,01/08/2026
WT201FTTW,TCL,Washing machine,Twin Tub,Active,,admin,01/08/2026
WD16T6500GV/ST,Samsung,Washing machine,Dryer,Active,,admin,01/08/2026
RS708N4TBN,Hisense,Refrigerator,SBS,Active,,admin,01/08/2026
WF16T6500GV/ST,Samsung,Washing machine,Front Load,Active,,admin,01/08/2026
WT14B5040BA/ST,Samsung,Washing machine,Twin Tub,Active,,admin,01/08/2026
WSRB1813UB,Hisense,Washing machine,Twin Tub,Active,,admin,01/08/2026
RT31CG5020S9/ST,Samsung,Refrigerator,2 Door,Active,,admin,01/08/2026
WA17CG6441BYST,Samsung,Washing machine,Front Load,Active,,admin,01/08/2026
UA75U8000FKXXT,Samsung,Television,UHD,Active,,admin,01/08/2026
43A6Q,Hisense,Television,!n/a,Active,,admin,01/08/2026
65US1000AN,ACONATIC,Television,!n/a,Active,,admin,01/08/2026
GR-RF611WI-PMTH(60),Toshiba,Refrigerator,Multi Door,Active,,admin,01/08/2026
40S5K,TCL,Television,!n/a,Active,,admin,01/08/2026
GR-D149MS,Toshiba,Refrigerator,1 Door,Active,,admin,01/08/2026
HRTN6408SXTH,HITACHI,Refrigerator,2 Door,Active,,admin,01/08/2026
43P6K,TCL,Television,!n/a,Active,,admin,01/08/2026
F207TMG,TCL,Refrigerator,1 Door,Active,,admin,01/08/2026
HR4N7522DSXTH,HITACHI,Refrigerator,Multi Door,Active,,admin,01/08/2026
GC-B187JBAM,LG,Refrigerator,SBS,Active,,admin,01/08/2026
AW-DUM1500LT,Toshiba,Washing machine,Top Load,Active,,admin,01/08/2026
RT09XFSDB,TCL,Refrigerator,1 Door,Active,,admin,01/08/2026
RT53DG7A14S9ST,Samsung,Refrigerator,2 Door,Active,,admin,01/08/2026
SF-150THV GG,HITACHI,Washing machine,Top Load,Active,,admin,01/08/2026
TWH-38WTH(W),Toshiba,Water heater,WH,Active,,admin,01/08/2026
WT149FTTG,TCL,Washing machine,Twin Tub,Active,,admin,01/08/2026
WA40F19E7CST,Samsung,Washing machine,Top Load,Active,,admin,01/08/2026
RT22FGRADB1/ST,Samsung,Refrigerator,2 Door,Active,,admin,01/08/2026
