Customer,Store ID Customer,STORE_ID,STORE_NAME,Store Name TH,Province TH,Region TH,Active-Inactive
บิ๊กซี,15022:Koh Phangan,S00938,BC-KOH_PHA_NGAN-SURATTHANI,เกาะพะงัน,สุราษฎร์ธานี,ภาคใต้,Not active
บิ๊กซี,11151:Samui,S00970,BC-SAMUI-SURATTHANI,เกาะสมุย,สุราษฎร์ธานี,ภาคใต้,Active
บิ๊กซี,11127:Chiangmai 1,S00926,BC-CHIANGMAI_1,เชียงใหม่ 1,เชียงใหม่,ภาคเหนือ,Active
บิ๊กซี,11184:Chiangmai 2,S00927,BC-CHIANGMAI_2,เชียงใหม่ 2,เชียงใหม่,ภาคเหนือ,Active
บิ๊กซี,11117:Chiangrai,S00751,BC-CHIANGRAI,เชียงราย,เชียงราย,ภาคเหนือ,Active
บิ๊กซี,11250:Chiangrai2,S00928,BC-CHIANGRAI_2,เชียงราย 2,เชียงราย,ภาคเหนือ,Active
บิ๊กซี,11175:Chonburi CPN,S00921,BC-CENTRAL-CHONBURI_3,เซ็นทรัล ชลบุรี,ชลบุรี,ภาคตะวันตกและตะวันออก,Active
บิ๊กซี,11142:Phetchakasem 1,S00876,BC:PETCHKASEM_1,เพชรเกษม 1,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,Active
บิ๊กซี,11179:Phetchakasem 2,S00865,BC:PETCHKASEM_2,เพชรเกษม 2,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,Active
บิ๊กซี,11120:Petchaburi,S00962,BC-PHETCHABURI,เพชรบุรี,เพชรบุรี,ภาคตะวันตกและตะวันออก,Not active
บิ๊กซี,11159:Phechabun,S00961,BC-PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,ภาคเหนือ,Active
บิ๊กซี,11210:Mega Bangna,S00853,BC:MEGA_BANGNA,เมกาบางนา,สมุทรปราการ,กรุงเทพฯและภาคกลาง,Active
บิ๊กซี,11231:Nong Khai,S00945,BC-MEGA_MARGET-NONGKHAI,เมกามาร์เก็ต หนองคาย,หนองคาย,ภาคตะวันออกเฉียงเหนือ,Active
บิ๊กซี,11251:Khon Kaen (Mueang Kao),S00946,BC-MUEANG_KAO-KHONKAEN,เมืองเก่าขอนแก่น,ขอนแก่น,ภาคตะวันออกเฉียงเหนือ,Active
บิ๊กซี,11211:Loei,S00759,BC-LOEI,เลย,เลย,ภาคตะวันออกเฉียงเหนือ,Active
บิ๊กซี,11144:Ekkamai,S00889,BC:EKKAMAI,เอกมัย,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,Not active
บิ๊กซี,11102:Chaengwattana 1,S00804,BC:CHANGWATTANA_1,แจ้งวัฒนะ 1,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,Not active
บิ๊กซี,11185:Chaengwattana 2,S00785,BC:CHANGWATTANA_2,แจ้งวัฒนะ 2,นนทบุรี,กรุงเทพฯและภาคกลาง,Active
บิ๊กซี,11146:Phare,S00965,BC-PHRAE,แพร่,แพร่,ภาคเหนือ,Active
บิ๊กซี,11126:Fashion Island,S00813,BC:FASHION_ISLAND,แฟชั่นไอส์แลนด์,กรุงเทพมหานคร,กรุงเทพฯและภาคกลาง,Not active
บิ๊กซี,11170:Laemthong,S00878,BC-LAEMTHONG-RAYONG,แหลมทอง,ระยอง,ภาคตะวันตกและตะวันออก,Not active
